17-10-05 21:37:12 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:37:14 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:37:17 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:37:19 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:37:39 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:37:42 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:37:46 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:37:48 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:38:05 Search by query: memory, threshold:0.14, doc:opencl, issues:
17-10-05 21:38:21 Search by query: memory, threshold:0.14, doc:opencl, issues:
